"ght_id","filepath","library","module","func_name","module_type","type","sub_type","approach_name"
"10005896159380213278","src/experiment.py","aif360","aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing","AdversarialDebiasing","algorithm","in","Multi objective optimization","Adversarial debiasing"
"10005896159380213278","src/experiment.py","aif360","aif360.algorithms.postprocessing.reject_option_classification.RejectOptionClassification","RejectOptionClassification","algorithm","post","Probabilistic label change","Reject option classification"
"10005896159380213278","src/experiment.py","aif360","aif360.algorithms.preprocessing.reweighing.Reweighing","Reweighing","algorithm","pre","Resampling","Reweighing"
"10031030935607527829","lib/german.py","aif360","aif360.datasets.german_dataset","GermanDataset","dataset","NA","NA","NA"
"10097892791737991160","docs/source/conf.py","aif360","aif360","__file__","utility","NA","NA","NA"
"10097892791737991160","docs/source/conf.py","aif360","aif360","__version__","utility","NA","NA","NA"
"10097892791737991160","examples/common_utils.py","aif360","aif360.metrics.ClassificationMetric","ClassificationMetric","metric","utility","NA","NA"
"10097892791737991160","mlops/kubeflow/bias_detector_pytorch/src/fairness.py","aif360","aif360.datasets.BinaryLabelDataset","BinaryLabelDataset","dataset","utility","NA","NA"
"10097892791737991160","mlops/kubeflow/bias_detector_pytorch/src/fairness.py","aif360","aif360.metrics.ClassificationMetric","ClassificationMetric","metric","utility","NA","NA"
"10097892791737991160","tests/sklearn/test_adversarial_debiasing.py","aif360","aif360.algorithms.inprocessing.AdversarialDebiasing","OldAdversarialDebiasing","algorithm","in","Multi objective optimization","Adversarial debiasing"
"10097892791737991160","tests/sklearn/test_adversarial_debiasing.py","aif360","aif360.datasets.AdultDataset","AdultDataset","dataset","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_adversarial_debiasing.py","aif360","aif360.sklearn.datasets.fetch_adult","fetch_adult","NA","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_adversarial_debiasing.py","aif360","aif360.sklearn.inprocessing.AdversarialDebiasing","AdversarialDebiasing","algorithm","in","Multi objective optimization","Adversarial debiasing"
"10097892791737991160","tests/sklearn/test_calibrated_equalized_odds.py","aif360","aif360.algorithms.postprocessing.CalibratedEqOddsPostprocessing","CalibratedEqOddsPostprocessing","algorithm","post","Probabilistic label change","Calibrated equalized odds"
"10097892791737991160","tests/sklearn/test_calibrated_equalized_odds.py","aif360","aif360.datasets.AdultDataset","AdultDataset","dataset","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_calibrated_equalized_odds.py","aif360","aif360.sklearn.datasets.fetch_adult","fetch_adult","NA","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_calibrated_equalized_odds.py","aif360","aif360.sklearn.postprocessing.CalibratedEqualizedOdds","CalibratedEqualizedOdds","algorithm","post","Probabilistic label change","Calibrated equalized odds"
"10097892791737991160","tests/sklearn/test_calibrated_equalized_odds.py","aif360","aif360.sklearn.postprocessing.PostProcessingMeta","PostProcessingMeta","mitigation","utility","NA","NA"
"10097892791737991160","tests/sklearn/test_datasets.py","aif360","aif360.sklearn.datasets.ColumnAlreadyDroppedWarning","ColumnAlreadyDroppedWarning","NA","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_datasets.py","aif360","aif360.sklearn.datasets.fetch_adult","fetch_adult","NA","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_datasets.py","aif360","aif360.sklearn.datasets.fetch_bank","fetch_bank","NA","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_datasets.py","aif360","aif360.sklearn.datasets.fetch_compas","fetch_compas","dataset","NA","NA","NA"
"10097892791737991160","tests/sklearn/test_datasets.py","aif360","aif360.sklearn.datasets.fetch_german","fetch_german","NA","NA","NA","NA"
